Date,District,Cases
5/27/2020,Rangpur,15
5/27/2020,Satkhira,3
5/27/2020,Shariatpur,30
5/27/2020,Sherpur,3
5/27/2020,Sirajganj,1
5/27/2020,Sunamganj,6
5/27/2020,Sylhet,60
5/27/2020,Tangail,1
5/27/2020,Thakurgaon,0
5/26/2020,Bagerhat,0
5/26/2020,Bandarban,0
5/26/2020,Barguna,0
5/26/2020,Barishal,0
5/26/2020,Bhola,0
5/26/2020,Bogura,0
5/26/2020,Brahmmanbaria,14
5/26/2020,Chandpur,0
5/26/2020,Chapai Nawabganj,3
5/26/2020,Chattogram,38
5/26/2020,Chuadanga,0
5/26/2020,Cox s Bazar,35
5/26/2020,Cumilla,43
5/26/2020,Dhaka,652
5/26/2020,Dinajpur,0
5/26/2020,Faridpur,0
5/26/2020,Feni,0
5/26/2020,Gaibandha,1
5/26/2020,Gazipur,9
5/26/2020,Gopalganj,0
5/26/2020,Habiganj,4
5/26/2020,Jamalpur,0
5/26/2020,Jashore,2
5/26/2020,Jhalakhati,0
5/26/2020,Jhenaidah,0
5/26/2020,Joypurhat,0
5/26/2020,Khagrachhari,9
5/26/2020,Khulna,3
5/26/2020,Kishoreganj,0
5/26/2020,Kurigram,0
5/26/2020,Kushtia,0
5/26/2020,Lakshmipur,0
5/26/2020,Lalmonirhat,4
5/26/2020,Madaripur,0
5/26/2020,Magura,0
5/26/2020,Manikganj,2
5/26/2020,Meherpur,0
5/26/2020,Moulvibazar,6
5/26/2020,Munshiganj,0
5/26/2020,Mymensing,9
5/26/2020,Naogaon,0
5/26/2020,Narail,1
5/26/2020,Narayanganj,1
5/26/2020,Narsingdi,0
5/26/2020,Natore,0
5/26/2020,Netrokona,4
5/26/2020,Nilphamari,0
5/26/2020,Noakhali,0
5/26/2020,Pabna,0
5/26/2020,Panchagarh,0
5/26/2020,Patuakhali,0
5/26/2020,Pirojpur,1
5/26/2020,Rajbari,0
5/26/2020,Rajshahi,2
5/26/2020,Rangamati,0
5/26/2020,Rangpur,8
5/26/2020,Satkhira,2
5/26/2020,Shariatpur,0
5/26/2020,Sherpur,2
5/26/2020,Sirajganj,1
5/26/2020,Sunamganj,0
5/26/2020,Sylhet,19
5/26/2020,Tangail,0
5/26/2020,Thakurgaon,0
5/25/2020,Bagerhat,0
5/25/2020,Bandarban,0
5/25/2020,Barguna,0
5/25/2020,Barishal,0
5/25/2020,Bhola,0
5/25/2020,Bogura,0
5/25/2020,Brahmmanbaria,1
5/25/2020,Chandpur,3
5/25/2020,Chapai Nawabganj,0
5/25/2020,Chattogram,121
5/25/2020,Chuadanga,0
5/25/2020,Cox s Bazar,25
5/25/2020,Cumilla,70
5/25/2020,Dhaka,282
5/25/2020,Dinajpur,3
5/25/2020,Faridpur,12
5/25/2020,Feni,3
5/25/2020,Gaibandha,0
5/25/2020,Gazipur,18
5/25/2020,Gopalganj,22
5/25/2020,Habiganj,0
5/25/2020,Jamalpur,13
5/25/2020,Jashore,1
5/25/2020,Jhalakhati,1
5/25/2020,Jhenaidah,0
5/25/2020,Joypurhat,0
5/25/2020,Khagrachhari,0
5/25/2020,Khulna,8
5/25/2020,Kishoreganj,0
5/25/2020,Kurigram,0
5/25/2020,Kushtia,0
5/25/2020,Lakshmipur,0
5/25/2020,Lalmonirhat,0
5/25/2020,Madaripur,5
5/25/2020,Magura,0
5/25/2020,Manikganj,0
5/25/2020,Meherpur,0
5/25/2020,Moulvibazar,0
5/25/2020,Munshiganj,54
5/25/2020,Mymensing,1
5/25/2020,Naogaon,0
5/25/2020,Narail,0
5/25/2020,Narayanganj,79
5/25/2020,Narsingdi,0
5/25/2020,Natore,1
